District,Town,County,Member,Party,Email,Phone,Committees
111,Falmouth (Part),Cumberland County,Amy D. Kuhn,D,Amy.Kuhn@legislature.maine.gov,207-287-1400,Judiciary (Chair); Ethics (Member)
54,Farmingdale,Kennebec County,Karen L. Montell,D,Karen.Montell@legislature.maine.gov,207-287-1400,Transportation (Member)
75,Farmington,Franklin County,Stephan M. Bunker,D,Stephan.Bunker@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Criminal Justice and Public Safety (Member)"
58,Fayette,Kennebec County,Sharon C. Frost,U,Sharon.Frost@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Veterans and Legal Affairs (Member)"
13,Fletchers Landing Township,Hancock County,Russell P. White,R,Russell.White@legislature.maine.gov,207-287-1400,Taxation (Member)
3,Fort Fairfield,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
1,Fort Kent,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
38,Frankfort (Part),Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
37,Frankfort (Part),Waldo County,Reagan L. Paul,R,Reagan.Paul@legislature.maine.gov,207-287-1400,"Elections (Member); Energy, Utilities and Technology (Member)"
12,Franklin,Hancock County,Billy Bob Faulkingham,R,William.Faulkingham@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Ranking Member)
63,Freedom,Waldo County,Paul R. Flynn,R,Paul.Flynn@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
73,Freeman Township,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
102,Freeport,Cumberland County,Melanie F. Sachs,D,Melanie.Sachs@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Chair)"
15,Frenchboro,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
2,Frenchville,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
45,Friendship,Knox County,Abden S. Simmons,R,Abden.Simmons@legislature.maine.gov,207-287-1400,Marine Resources (Member)
86,Frye Island,Cumberland County,Rolf A. Olsen Jr.,R,Rolf.Olsen@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
82,Fryeburg,Oxford County,Nathan J. Wadsworth,R,Nathan.Wadsworth@legislature.maine.gov,207-287-1400,"Bills in the Second Reading (Member); Energy, Utilities and Technology (Member)"
54,Gardiner,Kennebec County,Karen L. Montell,D,Karen.Montell@legislature.maine.gov,207-287-1400,Transportation (Member)
1,Garfield,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
32,Garland,Penobscot County,Steven D. Foster,R,Steven.Foster@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Ranking Member)"
49,Georgetown,Sagadahoc County,Allison Hepler,D,Allison.Hepler@legislature.maine.gov,207-287-1400,"Marine Resources (Chair); Agriculture, Conservation and Forestry (Member)"
73,Gilead,Oxford County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
34,Glenburn,Penobscot County,Abigail W. Griffin,R,Abigail.Griffin@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
8,Glenwood,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
108,Gorham (Part),Cumberland County,Parnell William Terry,D,Parnell.Terry@legislature.maine.gov,207-287-1400,Inland Fisheries and Wildlife (Member); Veterans and Legal Affairs (Member)
109,Gorham (Part),Cumberland County,Eleanor Y. Sato,D,Eleanor.Sato@legislature.maine.gov,207-287-1400,Judiciary (Member)
12,Gouldsboro,Hancock County,Billy Bob Faulkingham,R,William.Faulkingham@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Ranking Member)
2,Grand Isle,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
9,Grand Lake Stream,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
104,Gray (Part),Cumberland County,Amy Bradstreet Arata,R,Amy.Arata@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
105,Gray (Part),Cumberland County,Anne P. Graham,D,Anne.Graham@legislature.maine.gov,207-287-1400,Health and Human Services (Member); Veterans and Legal Affairs (Member)
18,Great Pond,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
18,Greenbush,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
92,Greene,Androscoggin County,Stephen J. Wood,R,Stephen.Wood@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Inland Fisheries and Wildlife (Member)
18,Greenfield Township,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
10,Greenlaw Chopping Township,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
30,Greenville,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
81,Greenwood,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
30,Guilford,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
55,Hallowell,Kennebec County,Daniel Joseph Shagoury,D,Daniel.Shagoury@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
3,Hamlin,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
6,Hammond,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
36,Hampden,Penobscot County,Kimberly M. Haggan,R,Kimberly.Haggan@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
12,Hancock,Hancock County,Billy Bob Faulkingham,R,William.Faulkingham@legislature.maine.gov,207-287-1400,Joint Select Committee on Joint Rules (Ranking Member)
78,Hanover,Oxford County,Rachel A. Henderson,R,Rachel.Henderson@legislature.maine.gov,207-287-1400,Judiciary (Member)
72,Harmony,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
99,Harpswell,Cumberland County,Cheryl A. Golek,D,Cheryl.Golek@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member); Marine Resources (Member)
11,Harrington,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
83,Harrison,Cumberland County,Marygrace Caroline Cimino,R,Marygrace.Cimino@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Member)"
77,Hartford,Oxford County,Tammy L. Schmersal-Burgess,R,Tammy.Schmersal-Burgess@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
69,Hartland,Somerset County,Dean A. Cray,R,dean.cray@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Bills in the Second Reading (Member)"
8,Haynesville,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
80,Hebron,Oxford County,Caldwell Jackson,R,Caldwell.Jackson@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member)"
35,Hermon,Penobscot County,James E. Thorne,R,Jim.Thorne@legislature.maine.gov,207-287-1400,Marine Resources (Ranking Member); Inland Fisheries and Wildlife (Member)
6,Hersey,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
62,Hibberts Gore Township,Lincoln County,Katrina J. Smith,R,Katrina.Smith@legislature.maine.gov,207-287-1400,Ethics (Member); Joint Select Committee on Joint Rules (Member); Rules and Business of the House (Member)
73,Highland,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
82,Hiram,Oxford County,Nathan J. Wadsworth,R,Nathan.Wadsworth@legislature.maine.gov,207-287-1400,"Bills in the Second Reading (Member); Energy, Utilities and Technology (Member)"
8,Hodgdon,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
19,Holden,Penobscot County,Richard H. Campbell,R,Richard.Campbell@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Ranking Member); Rules and Business of the House (Ranking Member); Ethics (Member)
138,Hollis (Part),York County,Mark John Blier,R,Mark.Blier@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
137,Hollis (Part),York County,Nathan M. Carlow,R,Nathan.Carlow@legislature.maine.gov,207-287-1400,Bills in the Second Reading (Member); Education and Cultural Affairs (Member)
44,Hope,Knox County,William D. Pluecker,I,Bill.Pluecker@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Chair); Engrossed Bills (Member)"
7,Houlton,Aroostook County,Gregory Lewis Swallow,R,Gregory.Swallow@legislature.maine.gov,207-287-1400,Taxation (Member)
28,Howland,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
27,Hudson,Penobscot County,Gary A. Drinkwater,R,Gary.Drinkwater@legislature.maine.gov,207-287-1400,Labor (Ranking Member)
74,Industry,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
8,Island Falls,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
15,Isle au Haut,Knox County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
40,Islesboro,Waldo County,D. Michael Ray,D,Michael.Ray@legislature.maine.gov,207-287-1400,Transportation (Member)
73,Jackman,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
38,Jackson,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
76,Jay,Franklin County,Sheila A. Lyman,R,Sheila.Lyman@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Ranking Member)
47,Jefferson,Lincoln County,Wayne K. Farrin,D,Wayne.Farrin@legislature.maine.gov,207-287-1400,Marine Resources (Member); State and Local Government (Member)
11,Jonesboro,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
11,Jonesport,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
34,Kenduskeag,Penobscot County,Abigail W. Griffin,R,Abigail.Griffin@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
134,Kennebunk (Part),York County,Traci Gere,D,Traci.Gere@legislature.maine.gov,207-287-1400,Housing and Economic Development (Chair); Engrossed Bills (Member)
135,Kennebunk (Part),York County,Daniel Sayre,D,Daniel.Sayre@legislature.maine.gov,207-287-1400,Taxation (Chair)
134,Kennebunkport,York County,Traci Gere,D,Traci.Gere@legislature.maine.gov,207-287-1400,Housing and Economic Development (Chair); Engrossed Bills (Member)
73,Kingfield,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
8,Kingman Township,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
30,Kingsbury,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
151,Kittery (Part),York County,Kristi Michele Mathieson,D,Kristi.Mathieson@legislature.maine.gov,207-287-1400,"Health Coverage, Insurance and Financial Services (Chair)"
150,Kittery (Part),York County,Michele Meyer,D,Michele.Meyer@legislature.maine.gov,207-287-1400,Health and Human Services (Chair)
38,Knox,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
28,Lagrange,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
31,Lake View,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
8,Lakeville,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
14,Lamoine,Hancock County,Gary Friedmann,D,Gary.Friedmann@legislature.maine.gov,207-287-1400,Taxation (Member)
144,Lebanon,York County,Jeffrey Sean Adams,R,Jeffrey.Adams@legislature.maine.gov,207-287-1400,State and Local Government (Member)
8,Lee,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
91,Leeds,Androscoggin County,Joshua K. Morris,R,Joshua.Morris@legislature.maine.gov,207-287-1400,"Elections (Ranking Member); Health Coverage, Insurance and Financial Services (Member)"
34,Levant,Penobscot County,Abigail W. Griffin,R,Abigail.Griffin@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
96,Lewiston (Part),Androscoggin County,Michel A. Lajoie,D,Michel.Lajoie@legislature.maine.gov,207-287-1400,Leaves of Absence (Chair); Criminal Justice and Public Safety (Member)
95,Lewiston (Part),Androscoggin County,Mana H. Abdi,D,Mana.Abdi@legislature.maine.gov,207-287-1400,Bills in the Second Reading (Member); Criminal Justice and Public Safety (Member)
93,Lewiston (Part),Androscoggin County,Julia A.G. McCabe,D,Julia.McCabe@legislature.maine.gov,207-287-1400,Health and Human Services (Member); Leaves of Absence (Member)
94,Lewiston (Part),Androscoggin County,Scott Harriman,D,Scott.Harriman@legislature.maine.gov,207-287-1400,Taxation (Member)
72,Lexington Township,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
40,Liberty,Waldo County,D. Michael Ray,D,Michael.Ray@legislature.maine.gov,207-287-1400,Transportation (Member)
139,Limerick,York County,David C. Woodsome,R,David.Woodsome@legislature.maine.gov,207-287-1400,Leaves of Absence (Ranking Member); Environment and Natural Resources (Member); Inland Fisheries and Wildlife (Member)
3,Limestone,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
138,Limington,York County,Mark John Blier,R,Mark.Blier@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
28,Lincoln,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
73,Lincoln,Oxford County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
40,Lincolnville,Waldo County,D. Michael Ray,D,Michael.Ray@legislature.maine.gov,207-287-1400,Transportation (Member)
7,Linneus,Aroostook County,Gregory Lewis Swallow,R,Gregory.Swallow@legislature.maine.gov,207-287-1400,Taxation (Member)
97,Lisbon (Part),Androscoggin County,Richard G. Mason,R,Richard.Mason@legislature.maine.gov,207-287-1400,Bills in the Second Reading (Ranking Member); Inland Fisheries and Wildlife (Ranking Member); Transportation (Member)
98,Lisbon (Part),Androscoggin County,Kilton M. Webb,D,Kilton.Webb@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member)"
56,Litchfield,Kennebec County,Randall Adam Greenwood,R,Randall.Greenwood@legislature.maine.gov,207-287-1400,State and Local Government (Ranking Member)
6,Littleton,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
76,Livermore (Part),Androscoggin County,Sheila A. Lyman,R,Sheila.Lyman@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Ranking Member)
77,Livermore (Part),Androscoggin County,Tammy L. Schmersal-Burgess,R,Tammy.Schmersal-Burgess@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
76,Livermore Falls,Androscoggin County,Sheila A. Lyman,R,Sheila.Lyman@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Ranking Member)
81,Locke Mills,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
110,Long Island,Cumberland County,Christina R.C. Mitchell,D,Christina.Mitchell@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
45,Louds Island Township,Lincoln County,Abden S. Simmons,R,Abden.Simmons@legislature.maine.gov,207-287-1400,Marine Resources (Member)
82,Lovell,Oxford County,Nathan J. Wadsworth,R,Nathan.Wadsworth@legislature.maine.gov,207-287-1400,"Bills in the Second Reading (Member); Energy, Utilities and Technology (Member)"
18,Lowell,Penobscot County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
10,Lubec,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
7,Ludlow,Aroostook County,Gregory Lewis Swallow,R,Gregory.Swallow@legislature.maine.gov,207-287-1400,Taxation (Member)
140,Lyman (Part),York County,Wayne R. Parry,R,Wayne.Parry@legislature.maine.gov,207-287-1400,Transportation (Ranking Member)
136,Lyman (Part),York County,John M. Eder,R,John.Eder@legislature.maine.gov,207-287-1400,Government Oversight Committee (Member); Housing and Economic Development (Member)
11,Machias,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
10,Machiasport,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
8,Macwahoc,Aroostook County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
2,Madawaska,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
2,Madawaska Lake Township,Aroostook County,Roger Clarence Albert,R,Roger.Albert@legislature.maine.gov,207-287-1400,Transportation (Member)
71,Madison,Somerset County,"John ""Jack"" E. Ducharme III",R,Jack.Ducharme@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Ranking Member)
73,Madrid Township,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
73,Magalloway Township,Oxford County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
55,Manchester,Kennebec County,Daniel Joseph Shagoury,D,Daniel.Shagoury@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
6,Mapleton,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
18,Mariaville,Hancock County,Mathew David McIntyre,R,Mathew.McIntyre@legislature.maine.gov,207-287-1400,"Engrossed Bills (Ranking Member); Criminal Justice and Public Safety (Member); Energy, Utilities and Technology (Member)"
6,Mars Hill,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
15,Marshall Island,Hancock County,Holly Rae Eaton,D,Holly.Eaton@legislature.maine.gov,207-287-1400,Marine Resources (Member); Transportation (Member)
10,Marshfield,Washington County,William R. Tuell,R,William.tuell@legislature.maine.gov,207-287-1400,State and Local Government (Member)
1,Masardis,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
81,Mason Township,Oxford County,Peter Conley Wood,R,Peter.Wood@legislature.maine.gov,207-287-1400,Marine Resources (Member)
42,Matinicus Isle,Knox County,Valli D. Geiger,D,Valli.Geiger@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Labor (Member)"
28,Mattamiscontis,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
8,Mattawamkeag,Penobscot County,Tracy L. Quint,R,Tracy.Quint@legislature.maine.gov,207-287-1400,Taxation (Member)
28,Maxfield,Penobscot County,Irene A. Gifford,R,Irene.Gifford@legislature.maine.gov,207-287-1400,Engrossed Bills (Member); Marine Resources (Member)
87,Mechanic Falls,Androscoggin County,David W. Boyer Jr.,R,David.Boyer@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Ranking Member); Elections (Member)
9,Meddybemps,Washington County,Arthur Kevin Mingo,R,Arthur.Mingo@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
31,Medford,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
66,Mercer,Somerset County,Robert W. Nutting,R,Robert.Nutting@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Ranking Member); Ethics (Member)
6,Merrill,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
77,Mexico,Oxford County,Tammy L. Schmersal-Burgess,R,Tammy.Schmersal-Burgess@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member)
11,Milbridge,Washington County,Tiffany Strout,R,Tiffany.Strout@legislature.maine.gov,207-287-1400,Marine Resources (Member)
27,Milford,Penobscot County,Gary A. Drinkwater,R,Gary.Drinkwater@legislature.maine.gov,207-287-1400,Labor (Ranking Member)
31,Milo,Piscataquis County,Chad R. Perkins,R,Chad.Perkins@legislature.maine.gov,207-287-1400,Government Oversight Committee (Ranking Member); Criminal Justice and Public Safety (Member)
78,Milton Township,Oxford County,Rachel A. Henderson,R,Rachel.Henderson@legislature.maine.gov,207-287-1400,Judiciary (Member)
90,Minot,Androscoggin County,Laurel D. Libby,R,Laurel.Libby@legislature.maine.gov,207-287-1400,Labor (Member)
46,Monhegan,Lincoln County,Lydia V. Crafts,D,Lydia.Crafts@legislature.maine.gov,207-287-1400,Elections (Chair); Transportation (Chair)
56,Monmouth,Kennebec County,Randall Adam Greenwood,R,Randall.Greenwood@legislature.maine.gov,207-287-1400,State and Local Government (Ranking Member)
38,Monroe,Waldo County,Benjamin C. Hymes,R,Benjamin.Hymes@legislature.maine.gov,207-287-1400,Veterans and Legal Affairs (Member)
30,Monson,Piscataquis County,James Lee White,R,James.White@legislature.maine.gov,207-287-1400,Transportation (Member)
6,Monticello,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
40,Montville,Waldo County,D. Michael Ray,D,Michael.Ray@legislature.maine.gov,207-287-1400,Transportation (Member)
73,Moose River,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
6,Moro,Aroostook County,Donald J. Ardell,R,Donald.Ardell@legislature.maine.gov,207-287-1400,Criminal Justice and Public Safety (Member); Engrossed Bills (Member)
40,Morrill,Waldo County,D. Michael Ray,D,Michael.Ray@legislature.maine.gov,207-287-1400,Transportation (Member)
72,Moscow,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
73,Moscow,Somerset County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
14,Mount Desert,Hancock County,Gary Friedmann,D,Gary.Friedmann@legislature.maine.gov,207-287-1400,Taxation (Member)
58,Mount Vernon,Kennebec County,Sharon C. Frost,U,Sharon.Frost@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Veterans and Legal Affairs (Member)"
72,Moxie Gore Township,Somerset County,Elizabeth M. Caruso,R,Elizabeth.Caruso@legislature.maine.gov,207-287-1400,Judiciary (Member); Leaves of Absence (Member)
42,Muscle Ridge Islands,Knox County,Valli D. Geiger,D,Valli.Geiger@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Labor (Member)"
84,Naples,Cumberland County,Mark Walker,R,Mark.Walker@legislature.maine.gov,207-287-1400,Housing and Economic Development (Member)
1,Nashville,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
1,New Canada,Aroostook County,Lucien J.B. Daigle,R,Lucien.Daigle@legislature.maine.gov,207-287-1400,Health and Human Services (Member)
104,New Gloucester,Cumberland County,Amy Bradstreet Arata,R,Amy.Arata@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
7,New Limerick,Aroostook County,Gregory Lewis Swallow,R,Gregory.Swallow@legislature.maine.gov,207-287-1400,Taxation (Member)
74,New Portland,Somerset County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
58,New Sharon,Franklin County,Sharon C. Frost,U,Sharon.Frost@legislature.maine.gov,207-287-1400,"Agriculture, Conservation and Forestry (Member); Veterans and Legal Affairs (Member)"
3,New Sweden,Aroostook County,Mark Michael Babin,R,Mark.Babin@legislature.maine.gov,207-287-1400,Judiciary (Member)
74,New Vineyard,Franklin County,Randall C. Hall,R,Randall.Hall@legislature.maine.gov,207-287-1400,
36,Newburgh,Penobscot County,Kimberly M. Haggan,R,Kimberly.Haggan@legislature.maine.gov,207-287-1400,Education and Cultural Affairs (Member)
46,Newcastle,Lincoln County,Lydia V. Crafts,D,Lydia.Crafts@legislature.maine.gov,207-287-1400,Elections (Chair); Transportation (Chair)
141,Newfield,York County,Lucas John Lanigan,R,Lucas.Lanigan@legislature.maine.gov,207-287-1400,
33,Newport,Penobscot County,Kenneth Wade Fredette,R,Kenneth.Fredette@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Member)
73,Newry,Oxford County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
46,Nobleboro,Lincoln County,Lydia V. Crafts,D,Lydia.Crafts@legislature.maine.gov,207-287-1400,Elections (Chair); Transportation (Chair)
71,Norridgewock,Somerset County,"John ""Jack"" E. Ducharme III",R,Jack.Ducharme@legislature.maine.gov,207-287-1400,Appropriations and Financial Affairs (Ranking Member)
149,North Berwick (Part),York County,Tiffany Roberts,D,Tiffany.Roberts@legislature.maine.gov,207-287-1400,Inland Fisheries and Wildlife (Chair)
148,North Berwick (Part),York County,Thomas A. Lavigne,R,Thomas.Lavigne@legislature.maine.gov,207-287-1400,Taxation (Member)
73,North Franklin,Franklin County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
42,North Haven,Knox County,Valli D. Geiger,D,Valli.Geiger@legislature.maine.gov,207-287-1400,"Energy, Utilities and Technology (Member); Labor (Member)"
73,North Oxford,Oxford County,Michael Soboleski,R,Michael.Soboleski@legislature.maine.gov,207-287-1400,Environment and Natural Resources (Member); Labor (Member)
